clean_review,y,clean_review1,phone,camera,battery,delivery,processor
good quality picture see,1,"['good', 'quality', 'picture', 'see']",0.9493647,0.9498272,0.9577062,0.995328,0.9545208
nice,1,['nice'],0.9605657,0.94551736,0.954633,0.9952641,0.94911516
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
ok,1,['ok'],0.9756506,0.9707663,0.97244656,0.94239324,0.97318304
valuable product,1,"['valuable', 'product']",0.9642045,0.977417,0.9788344,0.9705502,0.9808708
awesome smile face sunglass smile face sunglass smile face sunglass smile face sunglass,1,"['awesome', 'smile', 'face', 'sunglass', 'smile', 'face', 'sunglass', 'smile', 'face', 'sunglass', 'smile', 'face', 'sunglass']",0.9755272,0.97398925,0.9793118,0.99173284,0.97689235
super mobile battery backup 4 gb 64 gb rom,1,"['super', 'mobile', 'battery', 'backup', '4', 'gb', '64', 'gb', 'rom']",0.9838401,0.9806193,0.9848828,0.9712719,0.98333836
osm mobile,1,"['osm', 'mobile']",0.91742504,0.9015045,0.91647613,0.99045706,0.9082721
I like phone manner budget around 15k take look personally I like slow motion smooth great resolution,1,"['i', 'like', 'phone', 'manner', 'budget', 'around', '15k', 'take', 'look', 'personally', 'i', 'like', 'slow', 'motion', 'smooth', 'great', 'resolution']",0.97849953,0.9655675,0.97683245,0.99346185,0.9707793
goodi love,1,"['goodi', 'love']",0.9495563,0.93967825,0.9497587,0.98856443,0.9437304
nice phone,1,"['nice', 'phone']",0.98653114,0.9698105,0.97881085,0.9892322,0.97417337
good quilty,1,"['good', 'quilty']",0.9295089,0.9273473,0.93841046,0.99092233,0.9327869
classical,1,['classical'],0.9570917,0.9631385,0.9609041,0.9907169,0.9630028
hi guy I write review though I know thousand already review phone already superstar category share view experience phone I actively use phone since last 16 day experience let start1 main usp phone camera yes mi note 7 pro really pro area see pic attach notice two pic buddha let I tell light difference w,1,"['hi', 'guy', 'i', 'write', 'review', 'though', 'i', 'know', 'thousand', 'already', 'review', 'phone', 'already', 'superstar', 'category', 'share', 'view', 'experience', 'phone', 'i', 'actively', 'use', 'phone', 'since', 'last', '16', 'day', 'experience', 'let', 'start1', 'main', 'usp', 'phone', 'camera', 'yes', 'mi', 'note', '7', 'pro', 'really', 'pro', 'area', 'see', 'pic', 'attach', 'notice', 'two', 'pic', 'buddha', 'let', 'i', 'tell', 'light', 'difference', 'w']",0.978337,0.9708113,0.9789043,0.9952544,0.9750745
awesome camera economical price battery back also good,1,"['awesome', 'camera', 'economical', 'price', 'battery', 'back', 'also', 'good']",0.98569554,0.98884785,0.98958373,0.98192775,0.98962027
I receive flipkart packet box look goodbut main box seal break luckily part mobile accessory availablewhy main box seal break,1,"['i', 'receive', 'flipkart', 'packet', 'box', 'look', 'goodbut', 'main', 'box', 'seal', 'break', 'luckily', 'part', 'mobile', 'accessory', 'availablewhy', 'main', 'box', 'seal', 'break']",0.97486216,0.9706091,0.97833323,0.99630684,0.9746216
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
super super,1,"['super', 'super']",0.9579119,0.9677908,0.9731098,0.97073233,0.97406244
nice,1,['nice'],0.9605657,0.94551736,0.954633,0.9952641,0.94911516
worthy,1,['worthy'],0.9852057,0.992939,0.9941733,0.95485795,0.99581695
good awesome phoneno issue till date,1,"['good', 'awesome', 'phoneno', 'issue', 'till', 'date']",0.9727944,0.96155244,0.97202396,0.99621934,0.966539
nead kissht installment,1,"['nead', 'kissht', 'installment']",0.9676293,0.9423468,0.95911396,0.9931363,0.9489939
phone awsm,1,"['phone', 'awsm']",0.9985389,0.987659,0.9915815,0.95949423,0.9904069
superb phone cheap badget camera ju good average like normal like good,1,"['superb', 'phone', 'cheap', 'badget', 'camera', 'ju', 'good', 'average', 'like', 'normal', 'like', 'good']",0.98592985,0.9846466,0.9900579,0.9815398,0.98773724
nice purchase,1,"['nice', 'purchase']",0.9780372,0.9783318,0.98184615,0.9901491,0.9816351
good thumb thumb,1,"['good', 'thumb', 'thumb']",0.96780145,0.97570336,0.9813624,0.97651696,0.9805097
I dint expect phone like good product excellent cam batteryprocessor 220gh rock fast ever delivery thank flipkart mi,1,"['i', 'dint', 'expect', 'phone', 'like', 'good', 'product', 'excellent', 'cam', 'batteryprocessor', '220gh', 'rock', 'fast', 'ever', 'delivery', 'thank', 'flipkart', 'mi']",0.98598695,0.98011637,0.98560274,0.9889063,0.9831797
device amazing I use month camera phone artificial capture good picture video stabilize different modesi heavy gamer I use phone battery life give 4 30 5 hour also amount betery 10 available emergency use play pubg minimum 4 30 hour continuously max graphic 6 gb ram help I great memory management different app minimum lag,1,"['device', 'amazing', 'i', 'use', 'month', 'camera', 'phone', 'artificial', 'capture', 'good', 'picture', 'video', 'stabilize', 'different', 'modesi', 'heavy', 'gamer', 'i', 'use', 'phone', 'battery', 'life', 'give', '4', '30', '5', 'hour', 'also', 'amount', 'betery', '10', 'available', 'emergency', 'use', 'play', 'pubg', 'minimum', '4', '30', 'hour', 'continuously', 'max', 'graphic', '6', 'gb', 'ram', 'help', 'i', 'great', 'memory', 'management', 'different', 'app', 'minimum', 'lag']",0.97259223,0.963904,0.97315854,0.99561924,0.96832085
nice product ok handit goodvalue money,1,"['nice', 'product', 'ok', 'handit', 'goodvalue', 'money']",0.97823745,0.9722024,0.9801084,0.992499,0.97646314
awesome phone great designlove phone performance awesome sd 660 I play pubg high graphic price killer camer ok ok special,1,"['awesome', 'phone', 'great', 'designlove', 'phone', 'performance', 'awesome', 'sd', '660', 'i', 'play', 'pubg', 'high', 'graphic', 'price', 'killer', 'camer', 'ok', 'ok', 'special']",0.9849516,0.978443,0.9841548,0.9882272,0.98174727
nice product,1,"['nice', 'product']",0.9714541,0.97231483,0.9764304,0.990932,0.975682
amazing product I love smile face hearteyes,1,"['amazing', 'product', 'i', 'love', 'smile', 'face', 'hearteyes']",0.97066903,0.9662725,0.9737535,0.9971669,0.9701743
nice,1,['nice'],0.9605657,0.94551736,0.954633,0.9952641,0.94911516
good mobile price segmentand good gamer daily user good class display wide screen snapdragon 720gwith 48 megapixel camera,1,"['good', 'mobile', 'price', 'segmentand', 'good', 'gamer', 'daily', 'user', 'good', 'class', 'display', 'wide', 'screen', 'snapdragon', '720gwith', '48', 'megapixel', 'camera']",0.9818328,0.97336787,0.979771,0.9850446,0.9762155
nice product must buy,1,"['nice', 'product', 'must', 'buy']",0.9515779,0.9573614,0.962796,0.9821744,0.96193725
nice,1,['nice'],0.9605657,0.94551736,0.954633,0.9952641,0.94911516
ossam mobile wonderful saystam must must service,1,"['ossam', 'mobile', 'wonderful', 'saystam', 'must', 'must', 'service']",0.9561008,0.9568436,0.9649308,0.9911425,0.9619801
good product,1,"['good', 'product']",0.9748036,0.98875546,0.9876671,0.9669157,0.9905469
good quality,1,"['good', 'quality']",0.92938626,0.9275162,0.938337,0.990907,0.9326647
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
super,1,['super'],0.95785713,0.9679986,0.97289306,0.9704158,0.97415864
good,1,['good'],0.89556074,0.8994036,0.8985473,0.85961854,0.8977287
nice product price nice performance overall good camera also nice good looking I get product 7999thank flipkart fast delivery I get product in48hour realy thank flipkart,1,"['nice', 'product', 'price', 'nice', 'performance', 'overall', 'good', 'camera', 'also', 'nice', 'good', 'looking', 'i', 'get', 'product', '7999thank', 'flipkart', 'fast', 'delivery', 'i', 'get', 'product', 'in48hour', 'realy', 'thank', 'flipkart']",0.98170245,0.97484857,0.9819427,0.9910897,0.9789133
