,Application. ID,Age,Gender,Location,Siblings,RAM-1 Score,RAM-2 Score,HS Score,School Rank,SOP,Admission Status,Parents Edu._M,Parents Edu._M+F
0,Ref#37900,17,0,1,1,10,8,10,2,1.0,0,1,0
1,Ref#57851,18,1,3,0,11,8,10,2,2.0,0,0,0
2,Ref#30435,22,0,1,1,10,8,12,1,2.0,0,0,0
3,Ref#49594,19,0,2,0,10,8,12,3,1.0,0,0,1
4,Ref#41812,15,1,3,0,11,8,12,3,3.5,0,0,0
5,Ref#46037,17,1,2,0,10,8,13,3,2.0,0,0,0
6,Ref#17374,22,0,2,0,12,9,12,1,2.0,0,0,0
7,Ref#23126,16,0,1,0,12,9,12,2,2.0,0,1,0
8,Ref#23642,22,1,3,1,12,9,12,2,2.0,0,0,1
9,Ref#34374,18,1,2,1,10,8,15,2,4.0,0,0,1
10,Ref#44284,16,1,3,1,12,9,12,1,1.0,0,0,1
11,Ref#41868,17,1,3,0,13,10,11,1,3.0,0,1,0
12,Ref#73027,16,1,1,1,11,8,16,1,4.5,0,1,0
13,Ref#10268,16,0,1,1,11,8,16,2,4.0,0,0,1
14,Ref#22656,22,0,2,1,10,8,17,3,4.0,0,0,1
15,Ref#34443,23,0,2,0,10,8,17,2,3.5,0,1,0
16,Ref#45528,18,0,2,0,14,11,10,2,2.5,0,0,0
17,Ref#76224,20,1,1,1,14,11,11,3,4.5,0,0,1
18,Ref#16198,18,0,3,1,12,9,15,3,2.5,0,0,0
19,Ref#16851,16,1,3,0,14,11,11,2,1.5,0,0,1
20,Ref#21501,20,0,2,0,10,8,18,1,4.5,0,0,1
21,Ref#45791,22,1,1,1,11,8,17,2,4.5,0,0,0
22,Ref#47086,16,0,3,1,11,8,18,1,4.0,0,1,0
23,Ref#10621,21,0,2,0,13,10,15,2,2.5,0,0,1
24,Ref#38077,17,1,3,0,16,12,10,3,1.5,0,0,1
25,Ref#39135,20,1,2,1,11,8,19,1,2.0,0,1,0
26,Ref#93278,17,1,1,1,12,9,18,1,3.5,0,0,0
27,Ref#27385,20,1,3,1,14,11,14,1,2.5,0,0,1
28,Ref#41605,16,1,1,0,12,9,18,1,3.0,0,0,1
29,Ref#46623,22,1,1,0,10,8,21,3,1.0,0,0,1
30,Ref#33016,15,1,1,0,13,10,17,3,2.0,0,1,0
31,Ref#17278,18,1,1,1,15,12,14,3,4.0,0,1,0
32,Ref#13535,16,1,1,1,17,13,11,3,2.5,0,0,1
33,Ref#17225,16,0,1,1,10,8,23,3,3.5,0,1,0
34,Ref#19734,20,0,3,0,11,8,22,1,3.5,0,1,0
35,Ref#24169,20,0,3,0,17,13,11,2,4.5,0,0,0
36,Ref#28653,21,1,3,0,15,12,14,3,1.0,0,0,0
37,Ref#29801,18,0,3,1,17,13,11,3,1.5,0,1,0
38,Ref#40913,23,0,2,1,12,9,20,3,1.0,0,0,1
39,Ref#47720,20,0,2,1,15,12,14,2,4.5,0,1,0
40,Ref#66296,20,0,2,1,16,12,14,1,1.0,0,0,1
41,Ref#66348,21,0,1,0,14,11,17,3,1.0,0,1,0
42,Ref#15300,22,1,2,0,11,8,23,2,3.5,0,0,1
43,Ref#16176,17,1,1,1,11,8,23,3,2.0,0,1,0
44,Ref#22604,15,0,3,1,15,12,15,1,4.0,0,1,0
45,Ref#24470,23,1,1,0,17,13,12,1,3.5,0,0,1
46,Ref#29553,21,0,1,1,16,12,14,2,1.5,0,1,0
47,Ref#39586,17,0,1,1,17,13,12,1,5.0,0,0,0
48,Ref#46611,15,1,3,1,17,13,12,2,1.5,0,0,1
49,Ref#37980,16,0,1,0,18,14,11,2,3.5,0,1,0
50,Ref#56784,20,0,1,1,18,14,11,1,2.0,0,0,0
51,Ref#78194,20,0,3,0,12,9,22,2,2.0,0,0,0
52,Ref#44085,23,1,1,0,11,8,24,3,4.5,0,0,1
53,Ref#45750,22,0,2,1,18,14,11,3,4.5,0,0,0
54,Ref#47807,21,0,2,0,18,14,11,1,3.0,0,1,0
55,Ref#47853,20,0,3,0,13,10,20,1,2.0,0,0,0
56,Ref#11489,15,0,1,1,11,8,25,2,2.5,0,0,1
57,Ref#26657,19,1,2,0,12,9,23,3,1.0,0,1,0
58,Ref#29410,18,0,2,0,11,8,25,2,2.0,0,0,0
59,Ref#37314,22,1,1,1,10,8,26,1,4.0,0,0,1
60,Ref#43815,19,1,2,1,14,11,19,3,2.0,0,0,1
61,Ref#76549,15,1,3,0,11,8,26,2,3.5,0,1,0
62,Ref#10021,15,0,3,0,16,12,17,1,4.0,0,0,1
63,Ref#13912,20,1,3,0,13,10,22,3,3.5,0,1,0
64,Ref#16215,18,0,1,0,10,8,27,2,3.0,0,0,1
65,Ref#19796,23,0,2,0,13,10,22,3,3.0,0,0,0
66,Ref#44369,23,1,3,1,12,9,24,1,3.5,0,0,0
67,Ref#49055,23,0,3,1,19,15,11,1,1.5,0,1,0
68,Ref#12849,20,1,1,0,13,10,23,1,3.5,0,1,0
69,Ref#33777,17,1,2,0,12,9,25,3,4.0,0,1,0
70,Ref#14767,23,1,3,1,13,10,23,3,4.0,0,0,1
71,Ref#32531,18,0,2,0,16,12,18,2,4.5,0,0,1
72,Ref#32622,18,1,2,0,10,8,28,1,2.0,0,0,0
73,Ref#41361,23,0,1,0,20,16,10,3,3.0,0,0,1
74,Ref#42935,16,1,1,0,17,13,16,3,2.5,0,0,0
75,Ref#45769,23,0,1,0,15,12,19,2,3.5,0,1,0
76,Ref#46101,22,1,2,1,17,13,16,2,1.5,0,0,0
77,Ref#11518,21,1,3,1,18,14,15,2,1.5,0,0,1
78,Ref#17749,20,1,3,1,17,13,17,2,2.5,0,1,0
79,Ref#20380,21,1,3,1,15,12,20,3,1.0,0,1,0
80,Ref#20910,19,0,2,1,12,9,26,1,2.0,0,0,0
81,Ref#21782,22,0,3,0,20,16,11,3,4.0,0,0,0
82,Ref#35469,18,1,3,1,17,13,17,1,3.5,0,0,1
83,Ref#37732,19,1,3,0,14,11,22,1,2.0,0,0,0
84,Ref#45969,21,1,2,0,14,11,22,1,4.0,0,0,0
85,Ref#48876,17,0,3,1,18,14,15,1,2.5,0,0,0
86,Ref#75834,21,0,3,0,15,12,21,2,4.0,0,0,0
87,Ref#15394,16,0,2,1,20,16,12,1,1.5,0,0,1
88,Ref#31987,22,1,2,0,19,15,14,1,4.0,0,1,0
89,Ref#34307,22,0,1,1,19,15,14,1,1.0,0,0,0
90,Ref#35043,21,0,1,0,11,8,29,3,2.0,0,0,0
91,Ref#37298,19,1,3,0,15,12,21,2,3.5,0,0,1
92,Ref#39000,18,0,1,1,15,12,21,2,2.0,0,0,1
93,Ref#45224,22,1,2,1,12,9,27,1,5.0,0,0,0
94,Ref#29868,20,0,1,0,11,8,30,3,2.0,0,0,0
95,Ref#11972,15,0,3,1,14,11,24,3,4.0,0,0,1
