Damage,IsBodyShopRepair
,N
,N
,N
,N
,N
,N
"FRNT BMPR, ALGNMT, HOOD                           ",N
"R/FR BUMPER,SCR R/FENDER                          ",N
REAR BUMPER SCRAPED                               ,N
SCUFF-DVR FT BMPR/QTR PNL                         ,N
"REAR END,BUMPER,QRT                               ",N
PASS SIDE MIRROR                                  ,N
REAR BUMPER                                       ,N
FRT BUMPER HOOD & GRILL                           ,N
PASSENGER FRONT SIDE                              ,N
REAR FENDER                                       ,N
FRONT END DAMAGE                                  ,N
DRIVER SIDE                                       ,N
REAR BUMPER AND REAR DOORS                        ,N
DENTED RT REAR PANEL & HUBCAP                     ,N
NONE                                              ,N
NO DAMAGE                                         ,N
NO DAMAGE                                         ,N
NO DAMAGE                                         ,N
BACK BUMPER AND QRT PANEL                         ,N
NONE                                              ,N
FRONT DRIVER SIDE BUMPER                          ,N
PASS DOOR AND SIDE DOOR OF THE VAN                ,N
DVR FRONT DOOR                                    ,N
NO DAMAGE                                         ,N
NONE                                              ,N
DVR DOOR                                          ,N
FRONT BUMPER                                      ,N
FRONT BUMPER                                      ,N
NONE                                              ,N
"FRONT BUMPER,GRILL,LIGHTS                         ",N
NO DAMAGE                                         ,N
CENTER OF DRIVERS SIDE PANEL                      ,N
FRONT WINDSHIELD CRACKED ALL THE WAY ACROSS       ,N
RT SIDE FRT BUMPER & LFT DOORS                    ,N
WINDSHIELD CRACKED ACROSS                         ,N
"RADIATOR,FRT BODY DAMAGE                          ",N
"DRV SIDE FRT PANEL & DOOR, WINDOW,MIRROR          ",N
NONE                                              ,N
PASS SIDE FRONT & REAR DOOR                       ,N
REAR LEFT CORNER                                  ,N
NO DAMAGE                                         ,N
REAR BUMPER AND FRONT BUMPER                      ,N
WINDSHILED CRACKED                                ,N
WINDSHIELD CRACKED                                ,N
WINDSHIELD                                        ,N
ENTIRE FRONT END                                  ,N
NONE                                              ,N
TOTALLED/DRV DOOR                                 ,N
FRT END                                           ,N
REAR END DAMGE                                    ,N
"RIGHT REAR QP, AND REAR BUMPER                    ",N
FRT BUMPER & LIC PLATE OFF                        ,N
SIDE DOOR DRIVERS SIDE                            ,N
REAR END AND FRONT END                            ,N
FRONT AND REAR DRIVERS SIDE                       ,N
DRV SIDE                                          ,N
WINDSHIELD CRACKED ACROSS                         ,N
NONE                                              ,N
NONE                                              ,N
REAR BUMPER                                       ,N
NONE                                              ,N
NONE                                              ,N
NO DAMAGE                                         ,N
DVR SIDE  MIRROR                                  ,N
NO DAMAGE                                         ,N
NONE                                              ,N
LEFT REAR BUMPER AND POSSIBLE FRAME DAMAGE        ,N
FRONT END DAMAGE                                  ,N
NONE                                              ,N
NONE                                              ,N
DVR MIRROR                                        ,N
"PASS SLIDIN DOOR, FRONT DOOR & REAR QTR PANEL     ",N
"PSGR FRONT DOOR, CORNER BUMPER, & PARKING LIGHT   ",N
RR BUMPER                                         ,N
REAR BUMPER & CARGO DOOR                          ,N
FRONT HOOD                                        ,N
PASS REAR QTR PANEL                               ,N
REAR DOORS                                        ,N
NONE                                              ,N
PSGR REAR DOOR                                    ,N
NO VISIBLE DAMAGE                                 ,N
NO DAMAGE                                         ,N
FRONT AND BACK END                                ,N
"FRT END DAMAGE,LIGHTS,GRILL                       ",N
NONE                                              ,N
LEFT REAR END                                     ,N
REAR BUMPER (MINOR)                               ,N
FRONT BUMPER                                      ,N
FRONT                                             ,N
CRACK IN WINDSHIELD                               ,N
FRONT BUMPER/GRILLE                               ,N
FRONT RIGHT FENDER                                ,N
RIGHT FRONT PASS SIDE                             ,N
REAR BUMPER                                       ,N
REAR BUMPER                                       ,N
REAR DOORS ON VAN                                 ,N
MINOR FRONT END                                   ,N
CRACKED WINDSHIELD                                ,N
PASS REAR DOOR                                    ,N
ENTIRE DVR SIDE                                   ,N
NONE                                              ,N
FRONT END??                                       ,N
PASS SIDE RR DOORS                                ,N
"REAR BUMPER, D/S.  PANEL ON D/S REAR              ",N
PASS DOOR & SIDE OF CAB                           ,N
FRONT WINDSHIELD                                  ,N
DRV'S BUMPER CORNER FRONT                         ,N
NONE                                              ,N
NONE                                              ,N
FRONT BUMPER                                      ,N
FRONT LEFT SIDE AND QUARTER PANEL                 ,N
EXTENSIVE FRONT END                               ,N
LFT SIDE BY DOOR                                  ,N
(MINOR) RR BUMPER                                 ,N
REAR END BUMPER                                   ,N
NO DAMAGE                                         ,N
"FRONT FENDER DRIVER SIDE , HOOD, LIGHT            ",N
NO DAMAGE                                         ,N
PASS REAR QTR PANEL                               ,N
FRONT WINDSHIELD                                  ,N
NONE                                              ,N
NONE VISIBLE                                      ,N
NO DAMAGE                                         ,N
DENT FRONT BUMPER                                 ,N
NONE                                              ,N
FRONT BUMPER                                      ,N
FRONT END                                         ,N
"RIGHT FRONT FENDER , BUMPER,  HEADLIGHT           ",N
NONE                                              ,N
FRONT BUMPER SCRATCHED                            ,N
RR QP                                             ,N
NONE                                              ,N
REAR END BUMPER AND REAR DOORS                    ,N
NONE                                              ,N
REAR BUMPER                                       ,N
NO DAMAGE                                         ,N
FRONT LEFT GRILL AND FENDER                       ,N
LEFT FRONT QUARTER PANEL                          ,N
FRONT BUMPER                                      ,N
"LEFT SIDE BED , REAR CAB CORNER ",N
DRIVER REAR BUMPER & QTR PANEL,N
DRIVER SIDE MIDDLE OF VAN ,N
,N
LFT REAR QTR PANEL & REAR ,N
REAR DRIVERSIDE LIFTGATE PROTECTOR ,N
NONE VISIBLE,N
"MINOR DENT ON FRONT BUMPER
",N
FRONT BUMER AND MINOR REAR END,N
FRONT BUMPER ,N
REAR RIGHT BEHIND TIRE ,N
"DRIVER REAR QTR PANEL
",N
"FRONT END

",N
"LICENSE PLATE
",N
"REAR BUMPER
",N
BUMPER SCRATCH,N
NONE,N
"PASS REAR BUMPER, TAILGATE & TAIL LIGHT",N
FRONT BUMPER AND GRILL-,N
ALL OVER (ROLLED) POSS TOTAL,N
REAR BUMPER,N
WINDSHIELD  ,N
WINDSHIELD ,N
NO DAMAGE,N
"WINDSHIELD CRACKED (IN LINE OF VIEW)
",N
"LEFT FENDER , HOOD AND GRILLE ",N
"DRIVER SIDE FRONT WINDSHEILD IN EYESIGHT 10"" CRACK.",N
DRIVERS SIDE FRONT FENDER AND BUMPER,N
"FRONT END
",N
WINDSHIELD CRACKED 6 INCH LONG,N
NO DAMAGE,N
BUMPER BENT DOWN,N
REAR BUMPER,N
RIGHT REAR BUMPER DENTED.,N
FRONT BUMPER,N
"NONE
",N
FRONT END/BUMPER AND HOOD AND PASS FENDER,N
"REAR BUMPER, DRIVER SIDE QUARTER PANEL ",N
REAR BUMPER,N
REAR BUMP HAS MINOR SCRATCHES,N
BROKEN TURNSIGNAL PASS SIDE ,N
FRONT BUMPER (LEFT SIDE),N
NO DAMAGE,N
FRONT END AND REAR END DAMAGE,N
NONE,N
NONE ,N
NONE,N
"FRONT BUMPER, GRILLE, RADIATOR, FENDERS, HEADLIGHTS",N
LEFT FRONT BUMPER AND TURN SIGNAL,N
NO DAMAGE,N
REAR END,N
REAR DRIVER SIDE DOORS,N
RIGHT FRONT FENDER,Y
"FFRONT BUMPER, GRILLE, WINDSHIELD AND HEADLIGHT DAMAGE",N
"LEFT FRONT FENDER, BUMPER AND GRILL",N
FRONT BUMPER,N
REAR BUMPER,N
"RIGHT FRONT BUMPER, FENDER",N
NONE,N
"NONE

",N
STOLEN,N
"DRIVER SIDE REAR BUMPER
",N
"FRONT BUMPER,  DRIVER SIDE  FENDER ",N
FRONT BUMPER,N
NONE,N
DRIVERS SIDE DOOR,N
FRONT END SMASHED IN.,N
REAR BUMPER,N
DRIVER'S SIDE DOOR ,N
FRONT BUMPER DAMAGE.,N
RIGHT REAR QP,N
DRIVER WINDOW AND MIRROR ,N
BEHIND THE PASSENGER DOOR ON THE UTILITY BOXES,N
FRONT DRIVER SIDE FENDER/FRONT END DAMAGE.,N
FRONT  DRIVER FENDER AND BUMPER ,N
WINDSHIELD CRACKED,N
NONE,N
"DRIVER FRONT DOOR & BEHIND FRONT DOOR
",N
NO DAMAGE,N
BACK DOOR,Y
STOLEN ,N
"FRONT GRILLE, BUMPER, PASSENGER SIDE HEADLIGHT AND FENDER",N
"WINDSHIELD CRACKED IN LINE OF VIEW
",N
WINDSHIELD CRACKED IN LINE OF VIEW,N
WINDSHIELD CRACKED IN LINE OF VIEW,N
"PASS FRONT FENDER
",N
CRACK HORIZONTALLY ON WINDSHIELD,N
"REAR END, BED",N
NONE,N
FRONT BUMPER ,Y
CRACKED WINDSHIELD,N
NONE,N
LEFT FRONT AND LEFT REAR OF VEHICLE,N
FRONT BUMPER,N
WINDSHIELD NEEDS REPLACED ,N
"DRIVER SIDE REAR DOOR  WINDOW OUT  , SOLID WINDOW  NO VENT ",N
WINDSHIELD  IS CRACKED NEEDS REPLACED ,N
"NO DAMAGE
POINT OF CONTACT (DRIVER'S FRONT DOOR)",N
NONE,N
NONE,N
LEFT FRONT FENDER ,N
WINDSHIELD  CRACKED ,N
"DENT ON TAIL GATE, DRIVER'S TAIL LIGHT & ATR PANEL ",N
 BACK DOORS ,N
"NONE
POINT OF IMPACT:
VEH 1-FRONT BUMPER
VEH 2-DRIVER DOOR",N
"NONE
 POINT OF IMPACT REAR BUMPER ",N
"NONE 
POINT OF IMPACT THE TRAILER ",N
"NONE
POINT OF IMPACT: PASS SIDE DOOR",N
WINDSHIELD CRACKED ,N
FRONT BUMPER AND GRILL ,N
"NONE
POINT OF IMPACT:  FRONT BUMPER",N
PASS FRONT PANEL & HOOD (DENTED),N
FRONT BUMPER,N
"NONE 
POINT OF IMPACT BACK BUMPER ",N
DAMAGE IS ALL OVER THE VEH.,N
FRONT BUMPER LEFT SIDE IS DENTED,N
FRONT END,N
