Country,Year,Tooltip1,Tooltip2,Tooltip3,Tooltip4
Algeria,2017,17.69,83.74,88.69,87.59
Algeria,2016,17.71,83.65,88.69,87.54
Algeria,2015,17.74,83.56,88.69,87.5
Algeria,2014,17.81,83.47,88.33,87.33
Algeria,2013,17.88,83.37,87.98,87.16
Algeria,2012,17.94,83.28,87.62,86.97
Algeria,2011,18.01,83.18,87.26,86.77
Algeria,2010,18.07,83.07,86.9,86.56
Algeria,2009,18.13,82.97,86.54,86.34
Armenia,2017,48.22,94.04,100.0,93.64
Armenia,2016,48.3,93.38,100.0,93.41
Armenia,2015,48.32,92.72,99.6,93.06
Armenia,2014,48.28,92.06,99.25,92.63
Armenia,2013,48.25,91.41,98.47,92.21
Armenia,2012,48.21,90.76,97.69,91.79
Armenia,2011,48.17,90.11,96.91,91.38
Armenia,2010,48.14,89.47,96.14,90.96
Armenia,2009,48.1,88.83,95.37,90.55
Armenia,2008,48.05,88.2,94.6,90.14
Armenia,2007,48.01,87.56,93.83,89.73
Armenia,2006,47.97,86.93,93.07,89.32
Armenia,2005,47.9,86.3,92.31,88.91
Armenia,2004,47.8,85.67,91.56,88.5
Armenia,2003,47.69,85.04,90.8,88.09
Armenia,2002,47.59,84.42,90.05,87.68
Armenia,2001,47.48,83.81,89.3,87.28
Armenia,2000,47.37,83.25,88.56,86.9
Bolivia (Plurinational State of),2017,22.94,25.38,78.12,60.72
Bolivia (Plurinational State of),2016,22.22,25.35,76.76,58.8
Bolivia (Plurinational State of),2015,21.51,25.32,75.41,56.91
Bolivia (Plurinational State of),2014,20.81,25.29,74.06,55.05
Bolivia (Plurinational State of),2013,20.12,25.26,72.7,53.21
Bolivia (Plurinational State of),2012,19.44,25.23,71.35,51.39
Bolivia (Plurinational State of),2011,18.76,25.19,69.99,49.58
Bolivia (Plurinational State of),2010,18.09,25.15,68.64,47.8
Bosnia and Herzegovina,2016,21.24,97.16,94.85,95.34
Bosnia and Herzegovina,2015,20.92,97.16,94.85,95.31
Bosnia and Herzegovina,2014,20.59,97.15,94.85,95.29
Bosnia and Herzegovina,2013,20.39,97.14,95.12,95.27
Bosnia and Herzegovina,2012,20.22,97.13,95.39,95.25
Bosnia and Herzegovina,2011,20.07,97.12,95.66,95.24
Bosnia and Herzegovina,2010,19.91,97.11,95.94,95.22
Bosnia and Herzegovina,2009,19.76,97.11,96.21,95.2
Bosnia and Herzegovina,2008,19.6,97.1,96.48,95.18
Colombia,2017,16.99,65.39,86.45,89.63
Colombia,2016,16.79,65.26,85.55,88.59
Colombia,2015,16.59,65.13,84.64,87.55
Colombia,2014,16.4,64.99,83.74,86.5
Colombia,2013,16.2,64.86,82.84,85.46
Cuba,2017,44.34,85.2,90.31,92.81
Cuba,2016,43.56,85.19,90.31,92.81
Cuba,2015,42.69,85.19,89.67,92.43
Cuba,2014,41.8,85.18,89.02,91.98
Cuba,2013,40.93,85.18,88.38,91.54
Cuba,2012,40.07,85.18,87.74,91.09
Cuba,2011,39.23,85.16,87.1,90.64
Cuba,2010,38.41,85.15,86.46,90.2
Ecuador,2017,42.01,80.63,100.0,87.99
Ecuador,2016,42.18,80.62,100.0,87.18
Ecuador,2015,42.18,80.61,81.88,86.1
Ecuador,2014,42.14,80.6,81.09,85.0
Ecuador,2013,42.1,80.59,80.3,83.89
Ecuador,2012,42.06,80.58,79.51,82.78
Ecuador,2011,42.0,80.57,78.72,81.67
Ecuador,2010,41.95,80.55,77.93,80.56
Egypt,2017,60.74,89.83,98.82,94.19
Egypt,2016,60.16,89.83,98.69,94.08
Egypt,2015,59.59,88.34,98.57,93.97
Egypt,2014,59.02,86.86,98.44,93.85
Egypt,2013,58.55,85.38,98.32,93.74
Egypt,2012,58.08,83.9,98.19,93.63
Egypt,2011,57.61,82.43,98.07,93.51
Egypt,2010,57.13,80.95,97.94,93.4
Egypt,2009,56.66,79.47,97.82,93.28
Egypt,2008,56.18,77.99,97.69,93.17
Egypt,2007,55.7,76.51,97.57,93.05
Egypt,2006,55.23,75.03,97.44,92.93
Egypt,2005,54.74,73.54,97.32,92.81
Egypt,2004,54.25,72.04,97.19,92.7
Egypt,2003,53.77,70.55,97.07,92.58
Egypt,2002,53.94,69.05,96.94,92.46
Egypt,2001,54.1,67.55,96.82,92.34
Egypt,2000,54.27,66.05,96.69,92.22
Iraq,2017,41.07,94.58,91.06,94.12
Iraq,2016,40.38,93.99,88.81,92.43
Iraq,2015,39.7,93.39,86.56,90.74
Iraq,2014,39.02,92.79,84.3,89.07
