SR,NR,TR,VR,SUR1,SUR2,SUR3,UR,FR,OR,RR,BR,MR,CR,frog class
50,1,1,2,10,10,6,0,0,100,9,5,0,1,Green frog
200,1,5,2,10,6,1,3,0,100,1,1,0,1,Green frog
500,1,12,4,7,1,1,0,0,100,10,10,0,1,Green frog
500,1,12,4,2,7,2,0,0,100,5,5,0,1,Green frog
900,1,1,1,1,10,6,3,2,100,2,2,0,1,Green frog
700,1,5,2,10,6,9,0,0,100,1,1,0,1,Green frog
2300,1,1,1,2,6,10,1,3,100,0,0,0,1,Green frog
1000,1,1,0,1,6,7,3,3,75,0,0,0,1,Green frog
500,1,1,0,2,10,6,3,4,100,2,1,0,1,Green frog
3500,1,2,0,6,9,2,0,0,50,0,0,0,1,Green frog
1600,3,1,0,2,6,2,3,1,75,2,1,0,1,Green frog
3500,1,1,2,7,6,1,0,0,100,2,2,0,1,Green frog
800,1,1,2,1,10,6,3,2,100,0,2,0,1,Green frog
2600,1,1,2,2,10,6,0,0,50,0,0,0,1,Green frog
300,1,1,3,6,2,9,0,0,25,0,0,0,1,Green frog
1000,1,1,3,1,10,6,0,1,100,5,5,0,1,Green frog
1400,1,1,1,1,2,10,0,0,100,5,5,0,1,Green frog
1500,1,1,0,9,6,6,3,0,25,0,0,0,1,Green frog
4000,2,1,1,4,6,9,3,2,80,1,1,0,1,Green frog
500,1,14,1,14,1,6,0,0,100,2,2,0,1,Green frog
300,1,14,3,7,2,1,0,0,100,5,5,0,1,Green frog
150,2,1,1,1,10,6,0,1,100,0,1,0,1,Green frog
600,2,1,1,1,10,6,3,1,100,1,0,0,1,Green frog
100,1,5,1,7,2,6,3,0,100,2,1,0,1,Green frog
1500,3,1,1,2,1,10,3,3,100,2,2,0,1,Green frog
100,1,11,4,1,10,2,0,0,100,10,10,0,1,Green frog
2400,1,1,2,2,10,1,0,1,100,1,1,0,1,Green frog
4500,1,1,1,2,2,9,3,2,100,9,9,0,1,Green frog
1700,1,1,3,9,6,2,0,0,25,0,0,0,1,Green frog
3800,6,1,2,6,6,2,3,1,25,0,0,0,1,Green frog
2300,1,1,2,1,1,6,0,0,100,2,1,0,1,Green frog
825,1,1,3,6,2,10,0,0,100,1,2,0,1,Green frog
830,2,1,2,1,10,6,3,3,100,2,2,0,1,Green frog
1000,1,1,1,2,2,1,0,0,100,5,5,0,1,Green frog
350,1,1,2,10,1,6,0,0,100,1,1,0,1,Green frog
300,1,15,0,2,9,7,0,0,100,1,1,0,1,Green frog
700,1,5,1,10,6,10,3,1,75,1,1,0,1,Brown frog
300,1,14,2,1,2,7,0,0,100,2,1,0,1,Brown frog
300,1,15,1,10,1,6,0,0,100,1,1,0,1,Brown frog
300,1,15,1,1,1,10,0,0,100,5,5,0,1,Brown frog
3300,1,1,3,2,1,7,0,0,100,5,5,0,1,Brown frog
1000,1,14,2,7,1,9,0,0,75,1,2,0,1,Brown frog
300,1,15,0,1,10,6,0,0,100,0,1,0,1,Brown frog
300,1,12,4,1,10,2,0,0,100,5,5,0,1,Brown frog
700,1,1,3,2,2,7,0,0,100,0,1,0,1,Brown frog
2300,1,12,3,2,2,1,0,0,75,2,1,0,1,Brown frog
300,1,14,1,2,7,10,0,0,100,2,0,0,1,Brown frog
300,1,15,1,1,1,10,0,0,100,9,5,0,1,Brown frog
1000,4,1,0,10,2,6,0,1,75,0,0,0,1,Brown frog
750,2,5,1,6,1,2,0,1,50,1,0,0,1,Brown frog
200,1,1,1,6,6,2,0,0,75,0,0,0,1,Brown frog
100,1,1,2,2,6,10,0,0,100,1,1,0,1,Brown frog
300,1,15,1,1,1,9,0,0,75,0,5,0,1,Brown frog
800,1,1,3,2,10,7,0,0,100,9,9,0,1,Brown frog
1000,1,12,1,1,1,10,0,0,100,2,9,0,1,Brown frog
200,1,12,4,2,7,6,0,0,75,1,0,0,1,Brown frog
300,1,15,1,1,1,6,0,0,100,1,1,2,1,Brown frog
30,1,1,2,2,7,6,0,0,75,0,1,0,1,Brown frog
50,1,1,1,6,10,10,0,0,50,0,0,0,1,Brown frog
300,1,12,3,2,1,6,0,0,100,1,0,0,1,Brown frog
300,1,12,4,2,2,7,0,0,100,2,5,0,1,Brown frog
4000,1,12,4,2,6,10,0,0,100,1,1,0,1,Brown frog
300,1,1,1,2,10,10,0,0,100,2,2,0,1,Brown frog
2000,3,1,4,10,10,11,0,0,100,5,5,0,1,Brown frog
800,1,1,0,1,2,7,3,4,100,2,1,0,1,Brown frog
300,1,14,1,2,10,10,0,0,100,5,5,0,1,Brown frog
1300,1,1,0,1,10,6,3,1,100,1,1,0,1,Brown frog
1100,1,1,0,2,6,10,3,4,100,2,2,0,1,Brown frog
200,1,12,4,7,2,6,0,0,100,0,0,0,1,Brown frog
200,1,12,3,10,1,6,0,0,100,1,2,0,1,Brown frog
